PoF,Order proportion
1.0052911127492137,12.0
1.0090137562034651,4.0
1.0112977849099967,10.0
1.0006110460961104,4.0
1.0059793612907024,10.0
1.0008039583031085,3.0
1.0031949096403285,12.0
1.001090755546769,4.0
1.0,12.0
1.000927520575904,4.0
1.001929071353021,11.0
1.000695189710135,5.0
1.0012384770164247,12.0
1.0020627907657198,4.0
1.0058826776951841,11.0
1.0003130487445453,4.0
1.003477372238342,11.0
1.0026318171221702,5.0
1.0092363400816593,13.0
1.0025601072957142,6.0
1.0,10.0
1.0024486977694465,4.0
1.001084285183609,11.0
1.0007518419068533,4.0
1.0039169159679608,12.0
1.0,4.0
1.002591758890698,11.0
1.0027535093598092,4.0
1.003200323153146,10.0
1.002299809936812,5.0
1.002658965437375,11.0
1.0034319578110875,4.0
1.0046691200892797,11.0
1.0022943361300094,3.0
1.0005529901430879,10.0
1.002666191720439,4.0
1.0089261265739597,10.0
1.0011237440093605,4.0
1.0009811827373822,11.0
1.0021770567779236,4.0
