PoF,Source,Sorted
1.0564016644066123,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0394075547765536,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0054551753414365,KDE,True
1.0119147466135303,"uniform(0, 1)",False
1.0477480566588806,"uniform(0, 1)",True
1.0076478603948578,"beta(1, 6)",False
1.0480191699565928,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0123204123400007,"beta(6, 1)",True
1.0031696845045528,"beta(2, 5)",False
1.045821848553264,"beta(2, 5)",True
1.0041138039650674,"beta(5, 2)",False
1.0110509000028318,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0278562962037288,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0210486229545084,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0094251860556207,"beta(0.1, 0.6)",True
1.0023484211455462,KDE,False
1.0323143766602898,KDE,True
1.010813046249809,"uniform(0, 1)",False
1.054800392512014,"uniform(0, 1)",True
1.0141547270864957,"beta(1, 6)",False
1.0452783505154641,"beta(1, 6)",True
1.000752827412879,"beta(6, 1)",False
1.0151862395716698,"beta(6, 1)",True
1.01129432476642,"beta(2, 5)",False
1.0323714548172456,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.0143881085562734,"beta(5, 2)",True
1.0292489312943458,"beta(0.5, 0.5)",False
1.0393549033392226,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0089802935438428,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.00102158367205,KDE,False
1.0180649925282528,KDE,True
1.0021604779636564,"uniform(0, 1)",False
1.051008912387789,"uniform(0, 1)",True
1.027047674903153,"beta(1, 6)",False
1.047519961456148,"beta(1, 6)",True
1.0039280220572095,"beta(6, 1)",False
1.0171784052787582,"beta(6, 1)",True
1.0090424243069742,"beta(2, 5)",False
1.0222924408213647,"beta(2, 5)",True
1.0018430435652588,"beta(5, 2)",False
