PoF,Order proportion
1.0002645096587004,10.0
1.0007498956684442,4.0
1.0013728866574443,12.0
1.000894104206764,4.0
1.0003740045867922,10.0
1.000593438764061,4.0
1.0011525797069134,11.0
1.001085989830572,4.0
1.003164427703484,11.0
1.0004493856762087,3.0
1.0026466944053631,10.0
1.000546616333342,3.0
1.000204553644747,11.0
1.0013840809490493,4.0
1.0010289718014145,12.0
1.0020360743727899,6.0
1.0018004814912076,11.0
1.0024139054068053,4.0
1.0065074859480845,10.0
1.0,4.0
1.0033205302936439,10.0
1.0011835863812015,4.0
1.001911334998069,11.0
1.001067707981867,4.0
1.0001389844768465,11.0
1.0017147572669312,4.0
1.0004370666627402,11.0
1.0004642430198531,5.0
1.002396599661614,11.0
1.000832351833184,4.0
1.0005115313246216,10.0
1.000766433194917,4.0
1.001262397018043,11.0
1.0,5.0
1.0004127370818325,11.0
1.0040372613859327,5.0
1.0009025822565016,10.0
1.0,3.0
1.0006859256724634,10.0
1.0002296362143532,3.0
1.0009569589369847,13.0
1.0018937547526665,3.0
1.002502339912965,10.0
1.0031847133757963,6.0
1.0059823073313205,10.0
