"uniform(0, 1)","uniform(0, 1)_sorted","beta(1, 6)","beta(1, 6)_sorted","beta(6, 1)","beta(6, 1)_sorted","beta(2, 5)","beta(2, 5)_sorted","beta(5, 2)","beta(5, 2)_sorted","beta(0.5, 0.5)","beta(0.5, 0.5)_sorted","beta(0.6, 0.1)","beta(0.6, 0.1)_sorted","beta(0.1, 0.6)","beta(0.1, 0.6)_sorted"
1.0088916407777127,1.0481103892837735,1.0,1.028342313765924,1.0007367392813848,1.015529055515379,1.0,1.015625677291956,1.0,1.016318475340827,1.0,1.0395878337745206,1.0,1.0390884998567806,1.0,1.0
1.0075549750860724,1.0443557908710672,1.0,1.0918727343999417,1.0,1.010514307839721,1.0067763905694276,1.0688698151985714,1.0031948475205692,1.0130964888582037,1.0,1.0187945689589397,1.0,1.0086078981980597,1.0,1.0
1.003287711820948,1.0446973982813947,1.0061867373001607,1.0642245206695826,1.0092290721733614,1.0106662825910209,1.0242660941028394,1.015145213563206,1.0072087072101261,1.0225528798277355,1.0,1.0178764626894303,1.0002717038534168,1.0035351651981206,1.0,1.0
1.0087299413198,1.0489043349510574,1.021113651624748,1.0693671265746854,1.0028122759319396,1.0148058384841836,1.0,1.0506159956033025,1.0029308845782927,1.0211102811770965,1.0046780503601527,1.026225540629256,1.0,1.0389801998616146,1.0,1.0
1.0,1.0696870749237555,1.0,1.0254392449322693,1.0,1.027992412643326,1.0,1.0195989892919066,1.0,1.01684635478007,1.0030538017060655,1.1169223242466009,1.0,1.0563238504351289,1.0,1.0
1.0255005167859739,1.0661381674381645,1.0,1.0309872320036446,1.0,1.0172456686591733,1.0150974960919288,1.0246898378637415,1.0006869524233795,1.0103730224214476,1.0,1.0915857920985834,1.002468772549267,1.0337631969636658,1.0,1.0238749114103471
1.0047327756546023,1.0591680866601751,1.0021766313157041,1.0364883842564567,1.0015022552472894,1.0143402389774863,1.0,1.0843841064852389,1.0,1.0123730397919932,1.0,1.0396775587372158,1.0033224383362964,1.0003969984679215,1.0,1.021158290005777
1.0,1.0418625519021016,1.0,1.0199061589063305,1.0015352035769554,1.01057858245784,1.0043419289743123,1.0292421134005294,1.0,1.0122456857727002,1.0071418165336616,1.0529412991387468,1.0,1.0116051771917176,1.0,1.0242173957377383
1.0067808986433224,1.034231268857038,1.0087133824113388,1.0268566892119106,1.001898031768446,1.0255299275456222,1.0,1.0357172365042886,1.0014865031328675,1.0267975529134674,1.0018107967863725,1.1133971981600639,1.0,1.019530463163078,1.0,1.0
1.01406118216888,1.0527747626315322,1.0,1.0666705303327506,1.0031167680800641,1.0273792244701636,1.0,1.0198021656224465,1.001469507207287,1.0292508119045594,1.0085192866030692,1.076485029668886,1.0002333475015894,1.0593276387767914,1.0,1.0
1.0,1.0354354947886149,1.0,1.0124952794388857,1.002870161222045,1.0206226306412505,1.001739571432856,1.0267326313876561,1.0,1.0143869667743766,1.0,1.0913616709781797,1.0,1.0197674233442338,1.0,1.0
1.0,1.0120019060707945,1.0064787891518978,1.0309460494558695,1.0,1.0087212523686133,1.0065663364204178,1.0456776112270816,1.0,1.0288424105970653,1.003457711853675,1.0500134263576488,1.0,1.0230020999453049,1.0,1.0001061946902654
1.0,1.0147949097582951,1.0,1.0270626016230187,1.0,1.0167897026202322,1.0,1.064307938248525,1.0046006882380918,1.0083034278336336,1.0,1.0528209555394907,1.0016652642809614,1.0054895033630002,1.0,1.0218770905277623
